Den,Maximální teplota,Průměrná teplota,Minimální teplota
Jan 01 2019,1.4,-1.3,-4.4
Jan 02 2019,1.6,-0.9,-3.9
Jan 03 2019,1.2,-1.2,-4.2
Jan 04 2019,1.4,-1.3,-4.3
Jan 05 2019,1.4,-1.4,-4.9
Jan 06 2019,0.9,-1.6,-4.7
Jan 07 2019,0.5,-1.8,-5.1
Jan 08 2019,0.9,-1.8,-4.7
Jan 09 2019,0.8,-2.2,-5.4
Jan 10 2019,1,-1.6,-4.5
Jan 11 2019,1.5,-1.2,-4.6
Jan 12 2019,2,-0.7,-4
Jan 13 2019,1.6,-1.1,-3.8
Jan 14 2019,1.2,-1.6,-4.8
Jan 15 2019,0.9,-1.6,-4.2
Jan 16 2019,0.9,-1.7,-4.8
Jan 17 2019,1.5,-1.6,-4.9
Jan 18 2019,0.9,-1.9,-4.8
Jan 19 2019,1.3,-1.7,-4.6
Jan 20 2019,1.3,-1.5,-4.7
Jan 21 2019,1.3,-1.1,-3.8
Jan 22 2019,1.4,-1.6,-4.7
Jan 23 2019,0.9,-1.6,-4.3
Jan 24 2019,0.9,-1.9,-4.8
Jan 25 2019,0.9,-1.8,-4.9
Jan 26 2019,0.8,-2.1,-5.6
Jan 27 2019,1,-2.2,-5.8
Jan 28 2019,1.1,-2.1,-5.8
Jan 29 2019,1.1,-2.2,-5.8
Jan 30 2019,0.7,-2.4,-5.7
Jan 31 2019,0.8,-2.1,-5.4
Feb 01 2019,1.6,-1.6,-5.1
Feb 02 2019,1.6,-1.6,-5.1
Feb 03 2019,2.1,-1.7,-5.5
Feb 04 2019,1.8,-1.4,-4.9
Feb 05 2019,2.3,-1.4,-5.2
Feb 06 2019,2.8,-0.9,-4.4
Feb 07 2019,2.5,-0.9,-4.4
Feb 08 2019,2.8,-0.5,-4.1
Feb 09 2019,1.9,-1,-4.2
Feb 10 2019,2.5,-1,-4.3
Feb 11 2019,2.3,-0.8,-3.8
Feb 12 2019,2.8,-0.5,-4
Feb 13 2019,2.5,-0.6,-3.7
Feb 14 2019,2.9,-0.6,-3.8
Feb 15 2019,2.8,-0.6,-4.2
Feb 16 2019,2.3,-1.1,-4.4
Feb 17 2019,2.4,-1.2,-4.6
Feb 18 2019,2,-1.2,-4.6
Feb 19 2019,2.8,-0.5,-3.9
Feb 20 2019,3.1,-0.4,-3.7
Feb 21 2019,3.5,-0.5,-4.8
Feb 22 2019,3.8,-0.3,-4.2
Feb 23 2019,3.4,-0.7,-4.6
Feb 24 2019,3.7,-0.1,-4.2
Feb 25 2019,4.1,0.1,-3.8
Feb 26 2019,4.8,0.7,-3.1
Feb 27 2019,4.6,0.1,-4.3
Feb 28 2019,5.2,0.5,-4.1
Mar 01 2019,5.7,1.2,-3.2
Mar 02 2019,5.6,1.4,-2.2
Mar 03 2019,5,1.4,-2.4
Mar 04 2019,6.1,2.1,-1.8
Mar 05 2019,6.2,1.9,-2.5
Mar 06 2019,5.9,1.8,-2.3
Mar 07 2019,6.6,2.4,-1.5
Mar 08 2019,6.7,2.3,-1.7
Mar 09 2019,6.8,2.3,-2.2
Mar 10 2019,6.8,2.4,-2
Mar 11 2019,7.1,2.8,-1.3
Mar 12 2019,6.9,2.8,-1
Mar 13 2019,7,2.7,-1.2
Mar 14 2019,6.9,2.8,-1.4
Mar 15 2019,7,3,-0.6
Mar 16 2019,8,3.7,-0.4
Mar 17 2019,8.5,4,-0.3
Mar 18 2019,8.7,4.2,0.2
Mar 19 2019,7.8,3.5,-0.5
Mar 20 2019,7.7,3.4,-1
Mar 21 2019,8.5,3.9,-0.4
Mar 22 2019,8.8,4,-0.7
Mar 23 2019,9.2,4,-1
Mar 24 2019,9.9,4.8,-0.3
Mar 25 2019,10.5,5.4,0.4
Mar 26 2019,10.3,5.5,1
Mar 27 2019,11,5.7,0.3
Mar 28 2019,11.4,6.1,0.9
Mar 29 2019,10.8,5.9,0.9
Mar 30 2019,12,6.5,1.2
Mar 31 2019,12.1,6.6,1.4
Apr 01 2019,12.3,6.9,1.4
Apr 02 2019,12.1,7.1,1.9
Apr 03 2019,13.9,7.8,2
Apr 04 2019,13.5,7.9,2.4
Apr 05 2019,11.5,6.9,2.4
Apr 06 2019,11.9,6.8,1.7
Apr 07 2019,12,7.1,2.3
Apr 08 2019,11.9,6.8,1.8
Apr 09 2019,11.4,6.4,1.4
Apr 10 2019,11.9,6.7,1.3
Apr 11 2019,12.1,7.2,2.2
Apr 12 2019,12.2,7,1.9
Apr 13 2019,12.1,7.1,2.2
Apr 14 2019,12.6,7.5,2.1
Apr 15 2019,14,8.1,2
Apr 16 2019,13.2,8,2.6
